player_key,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,rosterstatus,games_played_current_season_flag,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,draft_date
2570,Kendrick,Perkins,Kendrick Perkins,"Perkins, Kendrick",K. Perkins,kendrick-perkins,1984-11-10T00:00:00,Clifton J. Ozen HS (TX),USA,Clifton J. Ozen HS (TX)/USA,208.28,270.0,14,21.0,Inactive,N,kendrick_perkins,2003,2017,Y,Y,Y,2003,1,27,N,2003-06-26
2561,David,West,David West,"West, David",D. West,david-west,1980-08-29T00:00:00,Xavier,USA,Xavier/USA,205.74,250.0,16,3.0,Inactive,N,david_west,2003,2017,N,Y,Y,2003,1,18,N,2003-06-26
2617,Udonis,Haslem,Udonis Haslem,"Haslem, Udonis",U. Haslem,udonis-haslem,1980-06-09T00:00:00,Florida,USA,Florida/USA,200.66,235.0,21,40.0,Inactive,N,udonis_haslem,2003,2022,N,Y,Y,Undrafted,Undrafted,Undrafted,N,
2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11T00:00:00,Oklahoma State,USA,Oklahoma State/USA,193.04,213.0,14,,Inactive,N,tony_allen,2004,2017,N,Y,Y,2004,1,25,N,2004-06-24
2734,Devin,Harris,Devin Harris,"Harris, Devin",D. Harris,devin-harris,1983-02-27T00:00:00,Wisconsin,USA,Wisconsin/USA,190.5,185.0,16,34.0,Inactive,N,devin_harris,2004,2018,N,Y,Y,2004,1,5,N,2004-06-24
2730,Dwight,Howard,Dwight Howard,"Howard, Dwight",D. Howard,dwight-howard,1985-12-08T00:00:00,SW Atlanta Christian Academy (GA),USA,SW Atlanta Christian Academy (GA)/USA,208.28,265.0,19,39.0,Inactive,N,dwight_howard,2004,2021,N,Y,Y,2004,1,1,N,2004-06-24
2738,Andre,Iguodala,Andre Iguodala,"Iguodala, Andre",A. Iguodala,andre-iguodala,1984-01-28T00:00:00,Arizona,USA,Arizona/USA,198.12,215.0,20,9.0,Inactive,N,andre_iguodala,2004,2022,N,Y,Y,2004,1,9,N,2004-06-24
2744,Al,Jefferson,Al Jefferson,"Jefferson, Al",A. Jefferson,al-jefferson,1985-01-04T00:00:00,No College,USA,Prentiss HS (MS)/USA,208.28,280.0,14,25.0,Inactive,N,al_jefferson,2004,2017,N,Y,Y,2004,1,15,N,2004-06-24
2733,Shaun,Livingston,Shaun Livingston,"Livingston, Shaun",S. Livingston,shaun-livingston,1985-09-11T00:00:00,Peoria Central HS (IL),USA,Peoria Central HS (IL)/USA,200.66,192.0,16,34.0,Inactive,N,shaun_livingston,2004,2018,Y,Y,Y,2004,1,4,N,2004-06-24
2731,Emeka,Okafor,Emeka Okafor,"Okafor, Emeka",E. Okafor,emeka-okafor,1982-09-28T00:00:00,Connecticut,USA,Connecticut/USA,208.28,255.0,11,50.0,Inactive,N,emeka_okafor,2004,2017,Y,Y,Y,2004,1,2,N,2004-06-24
2746,Josh,Smith,Josh Smith,"Smith, Josh",J. Smith,josh-smith,1985-12-05T00:00:00,Oak Hill Academy (VA),USA,Oak Hill Academy (VA)/USA,205.74,225.0,13,,Inactive,N,josh_smith,2004,2017,N,Y,Y,2004,1,17,N,2004-06-24
2760,Anderson,Varejao,Anderson Varejao,"Varejao, Anderson",A. Varejao,anderson-varejao,1982-09-28T00:00:00,FC Barcelona,Brazil,FC Barcelona/Brazil,210.82,260.0,14,,Inactive,N,anderson_varejao,2004,2020,N,Y,Y,2004,2,30,N,2004-06-24
2772,Trevor,Ariza,Trevor Ariza,"Ariza, Trevor",T. Ariza,trevor-ariza,1985-06-30T00:00:00,UCLA,USA,UCLA/USA,203.2,215.0,18,,Inactive,N,trevor_ariza,2004,2021,N,Y,Y,2004,2,43,N,2004-06-24
2736,Luol,Deng,Luol Deng,"Deng, Luol",L. Deng,luol-deng,1985-04-16T00:00:00,Duke,United Kingdom,Duke/United Kingdom,205.74,237.0,16,9.0,Inactive,N,luol_deng,2004,2018,N,Y,Y,2004,1,7,N,2004-06-24
2749,Jameer,Nelson,Jameer Nelson,"Nelson, Jameer",J. Nelson,jameer-nelson,1982-02-09T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,182.88,190.0,15,41.0,Inactive,N,jameer_nelson,2004,2017,N,Y,Y,2004,1,20,N,2004-06-24
2747,JR,Smith,JR Smith,"Smith, JR",J. Smith,jr-smith,1985-09-09T00:00:00,No College,USA,St. Benedict's Prep (NJ)/USA,198.12,220.0,17,21.0,Inactive,N,jr_smith,2004,2019,N,Y,Y,2004,1,18,N,2004-06-24
2863,Damien,Wilkins,Damien Wilkins,"Wilkins, Damien",D. Wilkins,damien-wilkins,1980-01-11T00:00:00,Georgia,USA,Georgia/USA,198.12,217.0,10,,Inactive,N,damien_wilkins,2004,2017,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,
101106,Andrew,Bogut,Andrew Bogut,"Bogut, Andrew",A. Bogut,andrew-bogut,1984-11-28T00:00:00,Utah,Australia,Utah/Australia,213.36,260.0,15,12.0,Inactive,N,andrew_bogut,2005,2018,N,Y,Y,2005,1,1,N,2005-06-28
101109,Raymond,Felton,Raymond Felton,"Felton, Raymond",R. Felton,raymond-felton,1984-06-26T00:00:00,North Carolina,USA,North Carolina/USA,185.42,205.0,15,2.0,Inactive,N,raymond_felton,2005,2018,N,Y,Y,2005,1,5,N,2005-06-28
101112,Channing,Frye,Channing Frye,"Frye, Channing",C. Frye,channing-frye,1983-05-17T00:00:00,Arizona,USA,Arizona/USA,213.36,255.0,14,9.0,Inactive,N,channing_frye,2005,2018,N,Y,Y,2005,1,8,N,2005-06-28
101162,Marcin,Gortat,Marcin Gortat,"Gortat, Marcin",M. Gortat,marcin-gortat,1984-02-17T00:00:00,RheinEnergie Cologne,Poland,RheinEnergie Cologne/Poland,210.82,240.0,12,,Inactive,N,marcin_gortat,2007,2018,Y,Y,Y,2005,2,57,N,2005-06-28
101123,Gerald,Green,Gerald Green,"Green, Gerald",G. Green,gerald-green,1986-01-26T00:00:00,No College,USA,Gulf Shores Academy (TX)/USA,200.66,205.0,13,14.0,Inactive,N,gerald_green,2005,2018,Y,Y,Y,2005,1,18,N,2005-06-28
101141,Ersan,Ilyasova,Ersan Ilyasova,"Ilyasova, Ersan",E. Ilyasova,ersan-ilyasova,1987-05-15T00:00:00,FC Barcelona,Turkey,FC Barcelona/Turkey,205.74,235.0,14,77.0,Inactive,N,ersan_ilyasova,2006,2020,Y,Y,Y,2005,2,36,N,2005-06-28
101127,Jarrett,Jack,Jarrett Jack,"Jack, Jarrett",J. Jack,jarrett-jack,1983-10-28T00:00:00,Georgia Tech,USA,Georgia Tech/USA,190.5,200.0,14,55.0,Inactive,N,jarrett_jack,2005,2017,Y,Y,Y,2005,1,22,N,2005-06-28
101161,Amir,Johnson,Amir Johnson,"Johnson, Amir",A. Johnson,amir-johnson,1987-05-01T00:00:00,Westchester HS (CA),USA,Westchester HS (CA)/USA,205.74,240.0,15,5.0,Inactive,N,amir_johnson,2005,2018,Y,Y,Y,2005,2,56,N,2005-06-28
101133,Ian,Mahinmi,Ian Mahinmi,"Mahinmi, Ian",I. Mahinmi,ian-mahinmi,1986-11-05T00:00:00,Pau Orthez,France,Pau Orthez/France,210.82,262.0,13,28.0,Inactive,N,ian_mahinmi,2007,2019,Y,Y,Y,2005,1,28,N,2005-06-28
101139,CJ,Miles,CJ Miles,"Miles, CJ",C. Miles,cj-miles,1987-03-18T00:00:00,Skyline HS (TX),USA,Skyline HS (TX)/USA,198.12,220.0,16,,Inactive,N,cj_miles,2005,2021,Y,Y,Y,2005,2,34,N,2005-06-28
101108,Chris,Paul,Chris Paul,"Paul, Chris",C. Paul,chris-paul,1985-05-06T00:00:00,Wake Forest,USA,Wake Forest/USA,182.88,175.0,20,3.0,Active,Y,chris_paul,2005,2025,N,Y,Y,2005,1,4,Y,2005-06-28
101107,Marvin,Williams,Marvin Williams,"Williams, Marvin",M. Williams,marvin-williams,1986-06-19T00:00:00,North Carolina,USA,North Carolina/USA,203.2,237.0,16,20.0,Inactive,N,marvin_williams,2005,2019,N,Y,Y,2005,1,2,N,2005-06-28
101150,Lou,Williams,Lou Williams,"Williams, Lou",L. Williams,lou-williams,1986-10-27T00:00:00,South Gwinnett HS (GA),USA,South Gwinnett HS (GA)/USA,187.96,175.0,18,6.0,Inactive,N,lou_williams,2005,2021,Y,Y,Y,2005,2,45,N,2005-06-28
101181,Jose,Calderon,Jose Calderon,"Calderon, Jose",J. Calderon,jose-calderon,1981-09-28T00:00:00,Tau Ceramica,Spain,Tau Ceramica/Spain,190.5,200.0,15,81.0,Inactive,N,jose_calderon,2005,2018,N,Y,Y,Undrafted,Undrafted,Undrafted,N,
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,University of Texas at Austin,USA,Texas/USA,210.82,250.0,17,21.0,Inactive,N,lamarcus_aldridge,2006,2021,N,Y,Y,2006,1,2,N,2006-06-28
200752,Rudy,Gay,Rudy Gay,"Gay, Rudy",R. Gay,rudy-gay,1986-08-17T00:00:00,Connecticut,USA,Connecticut/USA,203.2,250.0,18,22.0,Inactive,N,rudy_gay,2006,2022,N,Y,Y,2006,1,8,N,2006-06-28
200768,Kyle,Lowry,Kyle Lowry,"Lowry, Kyle",K. Lowry,kyle-lowry,1986-03-25T00:00:00,Villanova,USA,Villanova/USA,182.88,196.0,19,7.0,Active,N,kyle_lowry,2006,2025,N,Y,Y,2006,1,24,N,2006-06-28
200794,Paul,Millsap,Paul Millsap,"Millsap, Paul",P. Millsap,paul-millsap,1985-02-10T00:00:00,Louisiana Tech,USA,Louisiana Tech/USA,200.66,257.0,17,8.0,Inactive,N,paul_millsap,2006,2021,N,Y,Y,2006,2,47,N,2006-06-28
200755,JJ,Redick,JJ Redick,"Redick, JJ",J. Redick,jj-redick,1984-06-24T00:00:00,Duke,USA,Duke/USA,190.5,200.0,16,17.0,Inactive,N,jj_redick,2006,2020,N,Y,Y,2006,1,11,N,2006-06-28
200765,Rajon,Rondo,Rajon Rondo,"Rondo, Rajon",R. Rondo,rajon-rondo,1986-02-22T00:00:00,Kentucky,USA,Kentucky/USA,185.42,180.0,17,1.0,Inactive,N,rajon_rondo,2006,2021,N,Y,Y,2006,1,21,N,2006-06-28
200757,Thabo,Sefolosha,Thabo Sefolosha,"Sefolosha, Thabo",T. Sefolosha,thabo-sefolosha,1984-05-02T00:00:00,Angelico Biella,Switzerland,Angelico Biella/Switzerland,198.12,215.0,15,18.0,Inactive,N,thabo_sefolosha,2006,2019,N,Y,Y,2006,1,13,N,2006-06-28
200782,P.J.,Tucker,P.J. Tucker,"Tucker, P.J.",P. Tucker,pj-tucker,1985-05-05T00:00:00,Texas,USA,Texas/USA,195.57999999999998,245.0,15,,Inactive,N,pj_tucker,2006,2024,Y,Y,Y,2006,2,35,N,2006-06-28
200826,J.J.,Barea,J.J. Barea,"Barea, J.J.",J. Barea,jj-barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,Northeastern/Puerto Rico,177.8,180.0,15,5.0,Inactive,N,j.j._barea,2006,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,
201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,arron-afflalo,1985-10-15T00:00:00,UCLA,USA,UCLA/USA,195.57999999999998,210.0,12,4.0,Inactive,N,arron_afflalo,2007,2017,N,Y,Y,2007,1,27,N,2007-06-28
201158,Marco,Belinelli,Marco Belinelli,"Belinelli, Marco",M. Belinelli,marco-belinelli,1986-03-25T00:00:00,Fortitudo Bologna,Italy,Fortitudo Bologna/Italy,195.57999999999998,220.0,14,18.0,Inactive,N,marco_belinelli,2007,2019,N,Y,Y,2007,1,18,N,2007-06-28
201166,Aaron,Brooks,Aaron Brooks,"Brooks, Aaron",A. Brooks,aaron-brooks,1985-01-14T00:00:00,Oregon,USA,Oregon/USA,182.88,161.0,11,30.0,Inactive,N,aaron_brooks,2007,2017,Y,Y,Y,2007,1,26,N,2007-06-28
201163,Wilson,Chandler,Wilson Chandler,"Chandler, Wilson",W. Chandler,wilson-chandler,1987-05-10T00:00:00,DePaul,USA,DePaul/USA,203.2,235.0,13,21.0,Inactive,N,wilson_chandler,2007,2019,N,Y,Y,2007,1,23,N,2007-06-28
201144,Mike,Conley,Mike Conley,"Conley, Mike",M. Conley,mike-conley,1987-10-11T00:00:00,Ohio State,USA,Ohio State/USA,185.42,175.0,18,10.0,Active,Y,mike_conley,2007,2025,N,Y,Y,2007,1,4,N,2007-06-28
201162,Jared,Dudley,Jared Dudley,"Dudley, Jared",J. Dudley,jared-dudley,1985-07-10T00:00:00,Boston College,USA,Boston College/USA,198.12,237.0,15,10.0,Inactive,N,jared_dudley,2007,2020,N,Y,Y,2007,1,22,N,2007-06-28
201142,Kevin,Durant,Kevin Durant,"Durant, Kevin",K. Durant,kevin-durant,1988-09-29T00:00:00,Texas,USA,Texas/USA,210.82,240.0,18,7.0,Active,Y,kevin_durant,2007,2025,N,Y,Y,2007,1,2,Y,2007-06-28
201188,Marc,Gasol,Marc Gasol,"Gasol, Marc",M. Gasol,marc-gasol,1985-01-29T00:00:00,FC Barcelona,Spain,FC Barcelona/Spain,210.82,255.0,14,14.0,Inactive,N,marc_gasol,2008,2020,N,Y,Y,2007,2,48,N,2007-06-28
201145,Jeff,Green,Jeff Green,"Green, Jeff",J. Green,jeff-green,1986-08-28T00:00:00,Georgetown,USA,Georgetown/USA,203.2,235.0,18,32.0,Active,Y,jeff_green,2007,2025,N,Y,Y,2007,1,5,N,2007-06-28
201143,Al,Horford,Al Horford,"Horford, Al",A. Horford,al-horford,1986-06-03T00:00:00,Florida,Dominican Republic,Florida/Dominican Republic,203.2,240.0,18,20.0,Active,Y,al_horford,2007,2025,N,Y,Y,2007,1,3,N,2007-06-28
201177,Josh,McRoberts,Josh McRoberts,"McRoberts, Josh",J. McRoberts,josh-mcroberts,1987-02-28T00:00:00,Duke,USA,Duke/USA,208.28,240.0,11,,Inactive,N,josh_mcroberts,2007,2017,Y,Y,Y,2007,2,37,N,2007-06-28
201149,Joakim,Noah,Joakim Noah,"Noah, Joakim",J. Noah,joakim-noah,1985-02-25T00:00:00,Florida,USA,Florida/USA,210.82,232.0,14,55.0,Inactive,N,joakim_noah,2007,2019,Y,Y,Y,2007,1,9,N,2007-06-28
201196,Ramon,Sessions,Ramon Sessions,"Sessions, Ramon",R. Sessions,ramon-sessions,1986-04-11T00:00:00,Nevada-Reno,USA,Nevada/USA,190.5,190.0,12,9.0,Inactive,N,ramon_sessions,2007,2017,Y,Y,Y,2007,2,56,N,2007-06-28
201160,Jason,Smith,Jason Smith,"Smith, Jason",J. Smith,jason-smith,1986-03-02T00:00:00,Colorado State,USA,Colorado State/USA,213.36,240.0,11,,Inactive,N,jason_smith,2007,2018,N,Y,Y,2007,1,20,N,2007-06-28
201148,Brandan,Wright,Brandan Wright,"Wright, Brandan",B. Wright,brandan-wright,1987-10-05T00:00:00,North Carolina,USA,North Carolina/USA,208.28,235.0,10,,Inactive,N,brandan_wright,2007,2017,N,Y,Y,2007,1,8,N,2007-06-28
201156,Nick,Young,Nick Young,"Young, Nick",N. Young,nick-young,1985-06-01T00:00:00,Southern California,USA,Southern California/USA,200.66,210.0,12,,Inactive,N,nick_young,2007,2018,N,Y,Y,2007,1,16,N,2007-06-28
201152,Thaddeus,Young,Thaddeus Young,"Young, Thaddeus",T. Young,thaddeus-young,1988-06-21T00:00:00,Georgia Tech,USA,Georgia Tech/USA,203.2,225.0,18,30.0,Inactive,N,thaddeus_young,2007,2023,N,Y,Y,2007,1,12,N,2007-06-28
201229,Anthony,Tolliver,Anthony Tolliver,"Tolliver, Anthony",A. Tolliver,anthony-tolliver,1985-06-01T00:00:00,Creighton,USA,Creighton/USA,203.2,240.0,14,43.0,Inactive,N,anthony_tolliver,2008,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,
201583,Ryan,Anderson,Ryan Anderson,"Anderson, Ryan",R. Anderson,ryan-anderson,1988-05-06T00:00:00,California,USA,California/USA,205.74,240.0,12,,Inactive,N,ryan_anderson,2008,2019,N,Y,Y,2008,1,21,N,2008-06-26
201589,Darrell,Arthur,Darrell Arthur,"Arthur, Darrell",D. Arthur,darrell-arthur,1988-03-25T00:00:00,Kansas,USA,Kansas/USA,205.74,235.0,10,0.0,Inactive,N,darrell_arthur,2008,2017,N,Y,Y,2008,1,27,N,2008-06-26
201600,Omer,Asik,Omer Asik,"Asik, Omer",O. Asik,omer-asik,1986-07-04T00:00:00,Fenerbahce,Turkey,Fenerbahce/Turkey,213.36,255.0,9,3.0,Inactive,N,omer_asik,2010,2017,N,Y,Y,2008,2,36,N,2008-06-26
201571,D.J.,Augustin,D.J. Augustin,"Augustin, D.J.",D. Augustin,dj-augustin,1987-11-10T00:00:00,Texas,USA,Texas/USA,180.34,183.0,15,4.0,Inactive,N,d.j._augustin,2008,2022,N,Y,Y,2008,1,9,N,2008-06-26
201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,200.66,230.0,17,33.0,Active,Y,nicolas_batum,2008,2025,N,Y,Y,2008,1,25,N,2008-06-26
201573,Jerryd,Bayless,Jerryd Bayless,"Bayless, Jerryd",J. Bayless,jerryd-bayless,1988-08-20T00:00:00,Arizona,USA,Arizona/USA,190.5,200.0,12,8.0,Inactive,N,jerryd_bayless,2008,2018,N,Y,Y,2008,1,11,N,2008-06-26
201563,Michael,Beasley,Michael Beasley,"Beasley, Michael",M. Beasley,michael-beasley,1989-01-09T00:00:00,Kansas State,USA,Kansas State/USA,205.74,235.0,12,,Inactive,N,michael_beasley,2008,2018,N,Y,Y,2008,1,2,N,2008-06-26
201596,Mario,Chalmers,Mario Chalmers,"Chalmers, Mario",M. Chalmers,mario-chalmers,1986-05-19T00:00:00,Kansas,USA,Kansas/USA,187.96,190.0,10,6.0,Inactive,N,mario_chalmers,2008,2017,Y,Y,Y,2008,2,34,N,2008-06-26
201609,Goran,Dragic,Goran Dragic,"Dragic, Goran",G. Dragic,goran-dragic,1986-05-06T00:00:00,Union Olimpija,Slovenia,Union Olimpija/Slovenia,193.04,190.0,16,31.0,Inactive,N,goran_dragic,2008,2022,N,Y,Y,2008,2,45,N,2008-06-26
201568,Danilo,Gallinari,Danilo Gallinari,"Gallinari, Danilo",D. Gallinari,danilo-gallinari,1988-08-08T00:00:00,Olimpia Milano,Italy,Olimpia Milano/Italy,208.28,236.0,15,12.0,Inactive,N,danilo_gallinari,2008,2023,N,Y,Y,2008,1,6,N,2008-06-26
201569,Eric,Gordon,Eric Gordon,"Gordon, Eric",E. Gordon,eric-gordon,1988-12-25T00:00:00,Indiana,USA,Indiana/USA,190.5,215.0,17,23.0,Active,Y,eric_gordon,2008,2025,N,Y,Y,2008,1,7,N,2008-06-26
201588,George,Hill,George Hill,"Hill, George",G. Hill,george-hill,1986-05-04T00:00:00,Indiana-Purdue Indianapolis,USA,Indiana-Purdue Indianapolis/USA,193.04,188.0,16,7.0,Inactive,N,george_hill,2008,2022,N,Y,Y,2008,1,26,N,2008-06-26
201586,Serge,Ibaka,Serge Ibaka,"Ibaka, Serge",S. Ibaka,serge-ibaka,1989-09-18T00:00:00,Ricoh Manresa,Democratic Republic of the Congo,Ricoh Manresa/Democratic Republic of the Congo,210.82,235.0,14,,Inactive,N,serge_ibaka,2009,2022,Y,Y,Y,2008,1,24,N,2008-06-26
201599,DeAndre,Jordan,DeAndre Jordan,"Jordan, DeAndre",D. Jordan,deandre-jordan,1988-07-21T00:00:00,Texas A&M,USA,Texas A&M/USA,210.82,265.0,18,6.0,Inactive,N,deandre_jordan,2008,2024,N,Y,Y,2008,2,35,N,2008-06-26
201585,Kosta,Koufos,Kosta Koufos,"Koufos, Kosta",K. Koufos,kosta-koufos,1989-02-24T00:00:00,Ohio State,USA,Ohio State/USA,213.36,245.0,12,41.0,Inactive,N,kosta_koufos,2008,2018,Y,Y,Y,2008,1,23,N,2008-06-26
201584,Courtney,Lee,Courtney Lee,"Lee, Courtney",C. Lee,courtney-lee,1985-10-03T00:00:00,Western Kentucky,USA,Western Kentucky/USA,195.57999999999998,215.0,13,1.0,Inactive,N,courtney_lee,2008,2019,Y,Y,Y,2008,1,22,N,2008-06-26
201577,Robin,Lopez,Robin Lopez,"Lopez, Robin",R. Lopez,robin-lopez,1988-04-01T00:00:00,Stanford,USA,Stanford/USA,215.9,281.0,16,,Inactive,N,robin_lopez,2008,2023,N,Y,Y,2008,1,15,N,2008-06-26
201572,Brook,Lopez,Brook Lopez,"Lopez, Brook",B. Lopez,brook-lopez,1988-04-01T00:00:00,Stanford,USA,Stanford/USA,215.9,282.0,17,11.0,Active,Y,brook_lopez,2008,2025,N,Y,Y,2008,1,10,N,2008-06-26
201567,Kevin,Love,Kevin Love,"Love, Kevin",K. Love,kevin-love,1988-09-07T00:00:00,UCLA,USA,UCLA/USA,208.28,251.0,17,42.0,Active,Y,kevin_love,2008,2025,N,Y,Y,2008,1,5,N,2008-06-26
201601,Luc,Mbah a Moute,Luc Mbah a Moute,"Mbah a Moute, Luc",L. Mbah a Moute,luc-mbah-a-moute,1986-09-09T00:00:00,UCLA,Cameroon,UCLA/Cameroon,203.2,230.0,13,12.0,Inactive,N,luc_mbah a moute,2008,2019,N,Y,Y,2008,2,37,N,2008-06-26
201580,JaVale,McGee,JaVale McGee,"McGee, JaVale",J. McGee,javale-mcgee,1988-01-19T00:00:00,Nevada,USA,Nevada/USA,213.36,270.0,17,0.0,Inactive,N,javale_mcgee,2008,2023,N,Y,Y,2008,1,18,N,2008-06-26
201565,Derrick,Rose,Derrick Rose,"Rose, Derrick",D. Rose,derrick-rose,1988-10-04T00:00:00,Memphis,USA,Memphis/USA,190.5,200.0,16,23.0,Inactive,N,derrick_rose,2008,2023,N,Y,Y,2008,1,1,N,2008-06-26
201578,Marreese,Speights,Marreese Speights,"Speights, Marreese",M. Speights,marreese-speights,1987-08-04T00:00:00,Florida,USA,Florida/USA,208.28,255.0,11,5.0,Inactive,N,marreese_speights,2008,2017,N,Y,Y,2008,1,16,N,2008-06-26
201566,Russell,Westbrook,Russell Westbrook,"Westbrook, Russell",R. Westbrook,russell-westbrook,1988-11-12T00:00:00,UCLA,USA,UCLA/USA,193.04,200.0,17,4.0,Active,Y,russell_westbrook,2008,2025,N,Y,Y,2008,1,4,Y,2008-06-26
